iter	Passed	Remaining
771	34522	10195
772	34564	10150
773	34602	10103
774	34641	10057
775	34684	10011
776	34728	9967
777	34764	9920
778	34799	9872
779	34837	9826
780	34868	9777
781	34902	9729
782	34934	9681
783	34963	9632
784	34993	9584
785	35025	9536
786	35055	9487
787	35089	9440
788	35124	9393
789	35158	9346
790	35183	9296
791	35234	9253
792	35273	9207
793	35314	9162
794	35344	9113
795	35383	9068
796	35422	9022
797	35453	8974
798	35489	8927
799	35528	8882
800	35554	8833
801	35584	8785
802	35613	8737
803	35646	8689
804	35680	8643
805	35711	8595
806	35752	8550
807	35783	8502
808	35837	8460
809	35875	8415
810	35918	8370
811	35954	8324
812	36005	8281
813	36068	8241
814	36105	8195
815	36139	8149
816	36183	8104
817	36229	8060
818	36292	8020
819	36329	7974
820	36394	7934
821	36433	7889
822	36469	7843
823	36507	7797
824	36553	7753
825	36590	7707
826	36624	7661
827	36658	7615
828	36695	7569
829	36739	7524
830	36769	7477
831	36802	7431
832	36837	7385
833	36869	7338
834	36911	7293
835	36953	7249
836	36995	7204
837	37035	7159
838	37074	7114
839	37115	7069
840	37150	7023
841	37181	6977
842	37226	6932
843	37267	6888
844	37305	6843
845	37341	6797
846	37381	6752
847	37416	6706
848	37449	6660
849	37482	6614
850	37521	6569
851	37563	6525
852	37595	6478
853	37624	6432
854	37654	6385
855	37683	6339
856	37719	6293
857	37756	6248
858	37787	6202
859	37820	6156
860	37850	6110
861	37882	6064
862	37917	6019
863	37944	5972
864	37972	5926
865	38003	5880
866	38036	5834
867	38064	5788
868	38099	5743
869	38135	5698
870	38167	5652
871	38205	5608
872	38240	5563
873	38279	5518
874	38323	5474
875	38389	5434
876	38442	5391
877	38479	5346
878	38521	5302
879	38562	5258
880	38596	5213
881	38635	5168
882	38670	5123
883	38712	5079
884	38739	5033
885	38773	4988
886	38814	4944
887	38849	4899
888	38879	4854
889	38910	4809
890	38941	4763
891	38967	4718
892	38997	4672
893	39025	4627
894	39056	4582
895	39090	4537
896	39127	4492
897	39170	4449
898	39212	4405
899	39247	4360
900	39283	4316
901	39319	4271
902	39345	4226
903	39373	4181
904	39407	4136
905	39438	4091
906	39467	4046
907	39503	4002
908	39533	3957
909	39563	3912
910	39597	3868
911	39632	3824
912	39665	3779
913	39706	3736
914	39733	3691
915	39762	3646
916	39795	3601
917	39825	3557
918	39859	3513
919	39885	3468
920	39914	3423
921	39937	3378
922	39968	3334
923	39998	3289
924	40033	3245
925	40065	3201
926	40092	3157
927	40126	3113
928	40160	3069
929	40184	3024
930	40214	2980
931	40239	2935
932	40272	2892
933	40304	2848
934	40333	2803
935	40365	2760
936	40394	2715
937	40418	2671
938	40441	2627
939	40464	2582
940	40489	2538
941	40512	2494
942	40535	2450
943	40556	2405
944	40580	2361
945	40606	2317
946	40633	2274
947	40659	2230
948	40683	2186
949	40708	2142
950	40733	2098
951	40761	2055
952	40782	2011
953	40804	1967
954	40830	1923
955	40857	1880
956	40882	1836
957	40908	1793
958	40929	1749
959	40956	1706
960	40976	1662
961	41003	1619
962	41029	1576
963	41055	1533
964	41078	1489
965	41103	1446
966	41126	1403
